#{"t_start": 1765005134.2260592, "env_id": "None"}
r,l,t
10.9,1,3.647913
-0.252682,1,3.665481
10.9,1,3.681031
-10.1,1,3.696924
-7.1,1,3.699551
-10.1,1,3.719751
-10.1,1,3.735865
10.9,1,3.748713
10.9,1,3.764408
10.9,1,3.781086
10.9,1,3.797811
10.9,1,3.813547
10.9,1,3.829493
-10.1,1,3.844901
-0.398739,1,3.859855
-10.1,1,3.874456
-10.1,1,3.891154
10.9,1,3.905769
-0.207885,1,3.917277
-10.1,1,3.933087
-7.1,1,3.936515
-10.1,1,3.954936
10.9,1,3.966976
-10.1,1,3.976457
10.9,1,3.992838
10.9,1,4.007919
10.9,1,4.024778
-10.1,1,4.038771
10.9,1,4.051814
10.9,1,4.065156
-7.1,1,4.069521
10.9,1,4.086441
-7.1,1,4.089696
10.9,1,4.104531
-10.1,1,4.122797
-0.18831,1,4.142668
10.9,1,4.161385
10.9,1,4.180212
10.9,1,4.198641
10.9,1,4.219506
10.9,1,4.23526
-10.1,1,4.250721
-0.212969,1,4.269046
-10.1,1,4.287581
10.9,1,4.304857
10.9,1,4.322456
10.9,1,4.336555
-10.1,1,4.353196
-10.1,1,4.369945
-7.1,1,4.372862
-10.1,1,4.3865
10.9,1,4.404171
10.9,1,4.421631
10.9,1,4.439256
10.9,1,4.460782
-10.1,1,4.476859
-10.1,1,4.495993
-10.1,1,4.515567
-10.1,1,4.537531
10.9,1,4.559039
10.9,1,4.577672
-7.1,1,4.580894
10.9,1,4.598542
-7.1,1,4.603164
-10.1,1,4.623171
-0.241414,1,4.642249
-7.1,1,4.64627
-7.1,1,4.650287
-0.25746,1,4.668985
10.9,1,4.686583
-10.1,1,4.705866
10.9,1,4.721598
10.9,1,4.738783
-10.1,1,4.758533
10.9,1,4.775667
-0.302513,1,4.791057
-0.215383,1,4.803249
10.9,1,4.825282
10.9,1,4.842813
-10.1,1,4.862785
10.9,1,4.883969
10.9,1,4.904629
10.9,1,4.924353
10.9,1,4.944017
-0.285269,1,4.961136
-7.1,1,4.965156
10.9,1,4.986833
-0.238257,1,5.003561
-10.1,1,5.024429
-0.213241,1,5.046193
-10.1,1,5.066598
-7.1,1,5.083474
-10.1,1,5.112194
10.9,1,5.14565
10.9,1,5.170944
-10.1,1,5.191627
-0.275702,1,5.205012
-10.1,1,5.22735
-7.1,1,5.230974
10.9,1,5.250059
-10.1,1,5.26863
-10.1,1,5.289512
10.9,1,5.31036
-7.1,1,5.337981
0.171362,1,5.357854
10.9,1,5.376295
-10.1,1,5.398041
10.9,1,5.420343
-10.1,1,5.444016
10.9,1,5.464299
-10.1,1,5.487711
-10.1,1,5.508672
10.9,1,5.530777
-10.1,1,5.54617
-7.1,1,5.548171
-10.1,1,5.564018
10.9,1,5.579512
-7.1,1,5.581529
-10.1,1,5.596339
-0.057503,1,5.612197
10.9,1,5.629891
-10.1,1,5.648107
10.9,1,5.664055
-7.1,1,5.667371
10.9,1,5.687071
-7.1,1,5.691128
10.9,1,5.708137
-0.293236,1,5.72429
-10.1,1,5.73889
10.9,1,5.750897
-10.1,1,5.766254
0.003581,1,5.78282
-7.1,1,5.787302
-0.117262,1,5.805114
10.9,1,5.821899
-10.1,1,5.838766
10.9,1,5.858311
-10.1,1,5.87694
10.9,1,5.890432
10.9,1,5.905297
10.9,1,5.920881
10.9,1,5.936646
-0.241994,1,5.948676
-10.1,1,5.961771
-10.1,1,5.970762
-10.1,1,5.991564
-10.1,1,6.006867
-0.268658,1,6.024163
-7.1,1,6.027156
-0.240619,1,6.04465
-10.1,1,6.063733
-10.1,1,6.082112
-7.1,1,6.088943
-10.1,1,6.110243
-0.004421,1,6.132452
-7.1,1,6.136467
10.9,1,6.150912
10.9,1,6.170022
-10.1,1,6.18418
0.015101,1,6.197848
10.9,1,6.211613
10.9,1,6.225519
-10.1,1,6.238882
10.9,1,6.25404
-7.1,1,6.256843
-7.1,1,6.258854
-10.1,1,6.272708
10.9,1,6.288978
-0.229517,1,6.303437
-10.1,1,6.315966
-10.1,1,6.320944
-10.1,1,6.343786
10.9,1,6.354385
10.9,1,6.363405
10.9,1,6.373149
10.9,1,6.388915
-10.1,1,6.406767
10.9,1,6.421085
10.9,1,6.421085
10.9,1,6.438342
10.9,1,6.459289
-10.1,1,6.472234
10.9,1,6.4957
10.9,1,6.509493
-10.1,1,6.520987
-10.1,1,6.520987
-7.1,1,6.520987
-7.1,1,6.520987
-10.1,1,6.538949
10.9,1,6.556373
-7.1,1,6.56639
10.9,1,6.57524
-10.1,1,6.587794
10.9,1,6.59726
-7.1,1,6.599263
-0.270756,1,6.604487
-0.064216,1,6.621515
-10.1,1,6.637037
-10.1,1,6.655028
-7.1,1,6.657036
10.9,1,6.667056
-10.1,1,6.678171
10.9,1,6.689037
0.005807,1,6.689037
-10.1,1,6.714453
-10.1,1,6.737989
-10.1,1,6.753973
-10.1,1,6.771285
-10.1,1,6.787263
-10.1,1,6.804591
-10.1,1,6.824599
10.9,1,6.842417
10.9,1,6.861807
10.9,1,6.877666
-10.1,1,6.890141
-10.1,1,6.903707
-10.1,1,6.918604
-10.1,1,6.935734
10.9,1,6.951438
-7.1,1,6.954748
10.9,1,6.970676
10.9,1,6.984359
10.9,1,7.000043
-10.1,1,7.018807
10.9,1,7.02553
10.9,1,7.049278
10.9,1,7.066031
-10.1,1,7.08319
10.9,1,7.097351
-10.1,1,7.118917
-10.1,1,7.138913
-10.1,1,7.158646
10.9,1,7.179242
-0.31388,1,7.197414
10.9,1,7.211962
-10.1,1,7.226797
10.9,1,7.247012
-7.1,1,7.250203
-10.1,1,7.264995
10.9,1,7.275874
-10.1,1,7.297083
-10.1,1,7.317239
-10.1,1,7.335444
10.9,1,7.353
10.9,1,7.365262
10.9,1,7.371774
-10.1,1,7.393122
10.9,1,7.40502
10.9,1,7.421635
-10.1,1,7.4375
10.9,1,7.451165
-7.1,1,7.45515
10.9,1,7.470856
10.9,1,7.482357
-10.1,1,7.496125
-0.161132,1,7.511815
10.9,1,7.530535
10.9,1,7.546658
10.9,1,7.56465
10.9,1,7.584597
-10.1,1,7.602296
10.9,1,7.621918
-10.1,1,7.639185
10.9,1,7.656384
-7.1,1,7.661094
-0.121473,1,7.677324
-10.1,1,7.696602
-10.1,1,7.711435
0.306255,1,7.728998
10.9,1,7.746357
10.9,1,7.761167
10.9,1,7.777218
10.9,1,7.792441
10.9,1,7.808739
-10.1,1,7.823082
-10.1,1,7.83513
-10.1,1,7.851476
-10.1,1,7.86343
-7.1,1,7.867442
-10.1,1,7.880758
10.9,1,7.894747
-0.224028,1,7.911374
10.9,1,7.927025
-10.1,1,7.944165
-7.1,1,7.946867
-10.1,1,7.962513
-10.1,1,7.977958
-10.1,1,7.995355
-10.1,1,8.012103
10.9,1,8.028954
10.9,1,8.046541
